,close,high,low,open,ticker,vol
2003-09-26,2.536477396,2.6062087334,2.5277609789,2.5626266475,SAN,22507693
2003-09-29,2.5103281445,2.5539102304,2.4754624758,2.5277609789,SAN,20481328
2003-09-30,2.484178893,2.5277609789,2.4667460587,2.5277609789,SAN,35212364
2003-10-01,2.5277609789,2.5277609789,2.4754624758,2.5190445618,SAN,27752861
2003-10-02,2.5277609789,2.5626266475,2.5103281445,2.5539102304,SAN,23536584
2003-10-03,2.6149251506,2.6149251506,2.5103281445,2.5103281445,SAN,31460406
2003-10-06,2.5974923161000003,2.6062087334,2.5626266475,2.5974923161000003,SAN,25505215
2003-10-07,2.5626266475,2.6062087334,2.536477396,2.6062087334,SAN,21946119
2003-10-08,2.6236415676,2.632357985,2.5451938131,2.5539102304,SAN,31401716
2003-10-09,2.6672236536000002,2.6672236536000002,2.6062087334,2.632357985,SAN,20970364
2003-10-10,2.6497908194,2.6846564879000003,2.6410744021,2.6585072362999997,SAN,20382264
2003-10-13,2.6846564879000003,2.6846564879000003,2.6585072362999997,2.6672236536000002,SAN,17908283
2003-10-14,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,15708584
2003-10-15,2.7020893224,2.7195221564999996,2.6846564879000003,2.6846564879000003,SAN,33060630
2003-10-16,2.6846564879000003,2.7195221564999996,2.6846564879000003,2.7020893224,SAN,24390304
2003-10-17,2.6846564879000003,2.7195221564999996,2.6846564879000003,2.7020893224,SAN,23381510
2003-10-20,2.6846564879000003,2.6846564879000003,2.6846564879000003,2.6846564879000003,SAN,20759657
2003-10-21,2.6846564879000003,2.7195221564999996,2.6846564879000003,2.6846564879000003,SAN,15765574
2003-10-22,2.6672236536000002,2.6846564879000003,2.6672236536000002,2.6846564879000003,SAN,20662291
2003-10-23,2.6410744021,2.6585072362999997,2.6149251506,2.6410744021,SAN,22388885
2003-10-24,2.6585072362999997,2.6585072362999997,2.6236415676,2.6410744021,SAN,18647092
2003-10-27,2.6846564879000003,2.6846564879000003,2.6672236536000002,2.6672236536000002,SAN,18437885
2003-10-28,2.7020893224,2.7020893224,2.6846564879000003,2.6846564879000003,SAN,25845453
2003-10-29,2.7020893224,2.7195221564999996,2.6846564879000003,2.7195221564999996,SAN,14933583
2003-10-30,2.8154027452999997,2.8241191625999997,2.6846564879000003,2.6846564879000003,SAN,48981580
2003-10-31,2.8415519969,2.8589848313,2.7369549907999997,2.7456714083,SAN,46664417
2003-11-03,2.9199997515,2.9199997515,2.8589848313,2.8589848313,SAN,39108247
2003-11-04,2.9112833342,2.9199997515,2.8677012484,2.9025669172,SAN,32042365
2003-11-05,2.9199997515,2.9199997515,2.8677012484,2.9025669172,SAN,29353410
2003-11-06,2.9287161687,2.9374325859,2.8677012484,2.9025669172,SAN,34806923
2003-11-07,2.9374325859,2.9722982545999996,2.9287161687,2.9374325859,SAN,28115618
2003-11-10,2.9199997515,2.9374325859,2.9199997515,2.9287161687,SAN,20659200
2003-11-11,2.9199997515,2.9199997515,2.9025669172,2.9199997515,SAN,18537437
2003-11-12,2.9287161687,2.9287161687,2.9025669172,2.9199997515,SAN,25002836
2003-11-13,2.9374325859,2.9461490031,2.9287161687,2.9374325859,SAN,26584851
2003-11-14,2.9374325859,2.9374325859,2.9287161687,2.9374325859,SAN,21377221
2003-11-17,2.9025669172,2.9287161687,2.8938505,2.9199997515,SAN,24900487
2003-11-18,2.8938505,2.9199997515,2.8589848313,2.9199997515,SAN,26611740
2003-11-19,2.8938505,2.8938505,2.8241191625999997,2.8589848313,SAN,32142747
2003-11-20,2.9025669172,2.9112833342,2.8415519969,2.9025669172,SAN,33893884
2003-11-21,2.9199997515,2.9199997515,2.8677012484,2.9025669172,SAN,20090797
2003-11-24,2.9374325859,2.9461490031,2.9199997515,2.9199997515,SAN,27535854
2003-11-25,2.9635818375,2.9722982545999996,2.9374325859,2.9461490031,SAN,26200159
2003-11-26,2.9374325859,2.9722982545999996,2.9374325859,2.9374325859,SAN,21455215
2003-11-27,2.9548654204,2.9635818375,2.9374325859,2.9461490031,SAN,12818698
2003-11-28,2.9722982545999996,2.998447506,2.9374325859,2.9461490031,SAN,26951673
2003-12-01,3.1204773465,3.1379101807999996,3.0158803405000003,3.0158803405000003,SAN,32379477
2003-12-02,3.1117609293,3.1379101807999996,3.0594624262,3.1117609293,SAN,24071635
2003-12-03,3.1379101807999996,3.1379101807999996,3.0856116776999998,3.0856116776999998,SAN,23227413
2003-12-04,3.1117609293,3.1204773465,3.094328095,3.1204773465,SAN,22163927
2003-12-05,3.1117609293,3.1117609293,3.0856116776999998,3.1117609293,SAN,17163568
2003-12-09,3.1030445122000003,3.1204773465,3.0856116776999998,3.1117609293,SAN,26281367
2003-12-10,3.0420295919,3.094328095,3.0158803405000003,3.094328095,SAN,23539411
2003-12-11,3.1117609293,3.1117609293,3.0158803405000003,3.0681788435,SAN,24657696
