,close,high,low,open,vol
2009-11-04,20142.4,20162.0,19962.6,20002.7,166879000
2009-11-05,20427.5,20555.2,19898.1,20011.8,180017000
2009-11-06,20483.7,20567.0,20149.3,20372.8,188611000
2009-11-09,20901.4,20901.4,20613.1,20614.6,140975000
2009-11-10,20896.4,21034.3,20832.3,20884.7,182111000
2009-11-11,20996.6,21160.5,20967.2,21034.7,187287000
2009-11-12,21055.4,21201.2,20918.2,20976.5,209883000
2009-11-13,21113.3,21116.0,20912.5,21056.8,203191000
2009-11-16,21326.5,21362.5,21189.9,21248.5,188882000
2009-11-17,21277.6,21378.4,21222.9,21287.4,175328000
2009-11-18,21411.0,21532.3,21348.6,21357.1,174290000
2009-11-19,21076.2,21402.8,21024.3,21400.3,176131000
2009-11-20,20851.2,21247.9,20820.8,21153.0,203670000
2009-11-23,21244.8,21307.9,21053.3,21076.4,131893000
2009-11-24,21182.0,21302.6,21009.0,21053.1,142710000
2009-11-25,21289.9,21389.0,21173.8,21358.0,131624000
2009-11-26,20741.4,21180.8,20708.7,21162.4,180138000
2009-11-27,20953.6,21046.8,20311.2,20339.1,205590000
2009-11-30,20718.6,21127.5,20645.4,21065.0,169764000
2009-12-01,21112.4,21141.2,20887.9,20906.1,185713000
2009-12-02,21128.7,21238.6,20985.1,21107.1,162918000
2009-12-03,21193.6,21359.1,21150.9,21307.1,160908000
2009-12-04,21419.5,21460.7,21062.5,21120.8,187911000
2009-12-07,21383.3,21478.0,21238.4,21319.1,120879000
2009-12-08,21022.1,21424.6,20932.1,21286.1,152908000
2009-12-09,20545.5,21066.1,20467.6,20955.7,291144000
2009-12-10,20640.6,20668.7,20416.5,20534.6,226135000
2009-12-11,20678.7,20786.7,20647.1,20668.8,210758000
2009-12-14,20838.6,20915.2,20731.1,20837.9,151290000
2009-12-15,20895.7,20935.0,20641.0,20826.7,185785000
2009-12-16,21123.1,21144.5,20903.3,20916.4,207645000
2009-12-17,20827.0,21047.1,20741.1,20947.2,190867000
2009-12-18,20736.2,21037.4,20696.5,20851.3,255534000
2009-12-21,21067.2,21088.8,20757.3,20828.7,159935000
2009-12-22,21207.4,21301.1,21063.4,21063.7,148350000
2009-12-23,21344.3,21385.0,21253.1,21325.6,124695000
2009-12-28,21466.5,21551.6,21417.5,21450.1,92272000
2009-12-29,21490.5,21528.8,21401.5,21490.0,99442000
2009-12-30,21360.1,21503.4,21329.8,21500.3,103343000
2010-01-04,21737.8,21737.8,21453.2,21454.0,184134000
2010-01-05,21844.0,21908.6,21728.3,21731.9,238427000
2010-01-06,21876.4,21891.0,21742.2,21865.4,123736000
2010-01-07,21775.8,21835.5,21619.7,21769.9,192311000
2010-01-08,21776.5,21900.4,21627.7,21875.1,213106000
2010-01-11,21618.0,21903.4,21603.0,21829.4,230738000
2010-01-12,21441.3,21742.5,21396.4,21671.1,186737000
2010-01-13,21427.2,21550.7,21339.9,21363.9,181716000
2010-01-14,21501.6,21592.4,21326.8,21590.0,153863000
2010-01-15,21224.3,21654.8,21177.0,21553.1,236370000
2010-01-18,21270.4,21318.7,21123.5,21302.2,95621000
2010-01-19,21542.4,21590.2,21094.3,21233.9,202304000
2010-01-20,20980.5,21571.8,20861.4,21479.1,233647000
2010-01-21,20505.7,21123.5,20452.2,21093.0,288241000
2010-01-22,20379.2,20469.0,20076.5,20444.8,302534000
2010-01-25,20156.9,20396.9,20110.9,20203.6,203574000
2010-01-26,20332.4,20400.8,19961.7,19994.6,217302000
2010-01-27,19785.8,20075.5,19706.1,20067.5,328399000
2010-01-28,19404.3,20069.3,19404.3,19987.7,287028000
2010-01-29,19616.4,19791.4,19389.7,19538.2,222495000
